best_gap_pct,best_recovered_bitstring,best_recovered_objective,bks_optimal_value,bond_diagnostic_sec,bond_dimension_cap,case_id,cvar_qubo_energy,depth,expected_qubo_energy,feasible_run_fraction,feasible_sample_mass_raw,instance,logical_qubo_variables,max_observed_bond_dimension,mean_best_recovered_objective,mean_gap_pct,median_gap_pct,method,num_parameters,num_qubits,production_top10_mass,repetitions,sampling_runtime_sec_mean,sampling_runtime_sec_total,sd_gap_pct,setting_label,shots_per_rep,size,threshold,total_shots,tvd_vs_production_sampled,unique_bitstrings
0.2136433075659595,010100010101010101011000000101101100011010110101111101000000011010000001011110010011100110010000010,86875.0,87061,1.2783970829914324,,cvar_pet2,13387323723.917,302,47309873757.2186,1.0,0.6419,pet2.dat,99,64,77245.35,11.274451246826937,11.90372267720334,cvar_vqe,396,99,0.0005,20,1.6867452292557572,33.734904585115146,6.153455945271242,production_uncapped_1e-16,1000,792,1e-16,20000,0.0,20000
0.2136433075659595,010100010101010101011000000101101100011010110101111101000000011010000001011110010011100110010000010,86875.0,87061,0.2935657090274617,32,cvar_pet2,13388077368.5132,302,47266461093.7253,1.0,0.6418,pet2.dat,99,64,77245.35,11.274451246826937,11.90372267720334,cvar_vqe,396,99,0.0005,20,0.5665446060942486,11.330892121884972,6.153455945271242,restricted_cap_32_1e-16,1000,792,1e-16,20000,0.046349999999998975,20000
0.2136433075659595,010100010101010101011000000101101100011010110101111101000000011010000001011110010011100110010000010,86875.0,87061,1.438868084049318,64,cvar_pet2,13387323723.917,302,47309873757.2186,1.0,0.6419,pet2.dat,99,64,77245.35,11.274451246826937,11.90372267720334,cvar_vqe,396,99,0.0005,20,1.8687700582959224,37.37540116591845,6.153455945271242,converged_cap_64_1e-16,1000,792,1e-16,20000,0.0,20000
0.2136433075659595,010100010101010101011000000101101100011010110101111101000000011010000001011110010011100110010000010,86875.0,87061,1.4021764579811133,128,cvar_pet2,13387323723.917,302,47309873757.2186,1.0,0.6419,pet2.dat,99,64,77245.35,11.274451246826937,11.90372267720334,cvar_vqe,396,99,0.0005,20,1.8026320188946556,36.05264037789311,6.153455945271242,conservative_cap_128_1e-16,1000,792,1e-16,20000,0.0,20000
0.2136433075659595,010100010101010101011000000101101100011010110101111101000000011010000001011110010011100110010000010,86875.0,87061,1.2540968749672174,,cvar_pet2,13387323723.917,302,47309873757.2186,1.0,0.6419,pet2.dat,99,65,77245.35,11.274451246826937,11.90372267720334,cvar_vqe,396,99,0.0005,20,1.7461668084462871,34.92333616892574,6.153455945271242,threshold_uncapped_1e-12,1000,792,1e-12,20000,0.0,20000
0.2136433075659595,010100010101010101011000000101101100011010110101111101000000011010000001011110010011100110010000010,86875.0,87061,1.1109076249995269,,cvar_pet2,13388499948.6908,302,47304637231.8299,1.0,0.6421,pet2.dat,99,66,77245.35,11.274451246826937,11.90372267720334,cvar_vqe,396,99,0.0005,20,1.5579004937957506,31.158009875915013,6.153455945271242,threshold_uncapped_1e-8,1000,792,1e-08,20000,0.0013500000000000003,20000
9.976594499707431,110000111100011011000001110110000000000001000101001010100000,3077.0,3418,0.7416518340469338,,vqe_hp1,43882556.8582,185,189800410.07455,1.0,0.60355,hp1.dat,60,66,2779.3,18.68636629607958,19.397308367466355,vqe,240,60,0.0005,20,1.0201897855411517,20.403795710823033,4.927477547271486,production_uncapped_1e-16,1000,480,1e-16,20000,0.0,20000
9.976594499707431,110000111100011011000001110110000000000001000101001010100000,3077.0,3418,0.17800570803228766,33,vqe_hp1,43903802.2144,185,189779975.3391,1.0,0.6034,hp1.dat,60,66,2779.3,18.68636629607958,19.397308367466355,vqe,240,60,0.0005,20,0.335720654099714,6.71441308199428,4.927477547271486,restricted_cap_33_1e-16,1000,480,1e-16,20000,0.0058499999999999785,20000
9.976594499707431,110000111100011011000001110110000000000001000101001010100000,3077.0,3418,0.7179422909975983,128,vqe_hp1,43882556.8582,185,189800410.07455,1.0,0.60355,hp1.dat,60,66,2779.3,18.68636629607958,19.397308367466355,vqe,240,60,0.0005,20,0.9670647917024325,19.34129583404865,4.927477547271486,converged_cap_128_1e-16,1000,480,1e-16,20000,0.0,20000
9.976594499707431,110000111100011011000001110110000000000001000101001010100000,3077.0,3418,0.7322904579923488,256,vqe_hp1,43882556.8582,185,189800410.07455,1.0,0.60355,hp1.dat,60,66,2779.3,18.68636629607958,19.397308367466355,vqe,240,60,0.0005,20,0.9500585333415075,19.00117066683015,4.927477547271486,conservative_cap_256_1e-16,1000,480,1e-16,20000,0.0,20000
9.976594499707431,110000111100011011000001110110000000000001000101001010100000,3077.0,3418,0.7008672499796376,,vqe_hp1,43882556.8582,185,189800410.07455,1.0,0.60355,hp1.dat,60,66,2779.3,18.68636629607958,19.397308367466355,vqe,240,60,0.0005,20,0.9395560020464473,18.791120040928945,4.927477547271486,threshold_uncapped_1e-12,1000,480,1e-12,20000,0.0,20000
9.976594499707431,110000111100011011000001110110000000000001000101001010100000,3077.0,3418,0.48423566698329523,,vqe_hp1,43876258.2316,185,189795201.06685,1.0,0.6036,hp1.dat,60,67,2779.3,18.68636629607958,19.397308367466355,vqe,240,60,0.0005,20,0.730022162446403,14.600443248928059,4.927477547271486,threshold_uncapped_1e-8,1000,480,1e-08,20000,0.0003500000000000001,20000
