case_id,problem,instance,optimizer_name,ansatz_family,ansatz_reps,ansatz_parameters,logical_variables,encoded_qubits,compression_k,initialization_seed,maxiter,ftol,eps,nit,nfev,njev,status,message,success,initial_objective,best_objective,final_objective,final_decoded_objective,final_decoded_gap_percent,decoded_feasible,raw_decoded_objective,raw_decoded_feasible,postprocess_improved,candidates_checked,shots_per_objective,final_sampling_shots,total_shots_estimate,runtime_seconds
S1_mis_1tc8_pce,mis,1tc.8.txt,SLSQP,current_PCE_EfficientSU2,2,18,8,3,2,1103,100,1e-06,1.4901161193847656e-08,26,529,26,0,Optimization terminated successfully,True,2.226272188349141,-33.25413538906865,-33.25413538906865,3.0,25.0,True,2.0,True,True,20,1000,1000,530000,0.4293862500344403
S1_mis_1tc8_pce,mis,1tc.8.txt,SLSQP,current_PCE_EfficientSU2,2,18,8,3,2,4409,100,1e-06,1.4901161193847656e-08,30,616,30,0,Optimization terminated successfully,True,12.958645976577069,-28.710272994390536,-28.710272994374115,3.0,25.0,True,2.0,True,True,20,1000,1000,617000,0.5410591660183854
S1_mis_1tc8_pce,mis,1tc.8.txt,SLSQP,current_PCE_EfficientSU2,2,18,8,3,2,7703,100,1e-06,1.4901161193847656e-08,35,700,35,0,Optimization terminated successfully,True,7.20215592908308,-33.254250181961275,-33.254250181961275,3.0,25.0,True,2.0,True,True,20,1000,1000,701000,0.5551578340237029
S1_mis_1tc8_pce,mis,1tc.8.txt,SLSQP,current_PCE_EfficientSU2,2,18,8,3,2,1103,200,1e-06,1.4901161193847656e-08,26,529,26,0,Optimization terminated successfully,True,2.226272188349141,-33.25413538906865,-33.25413538906865,3.0,25.0,True,2.0,True,True,20,1000,1000,530000,0.4385005409712903
S1_mis_1tc8_pce,mis,1tc.8.txt,SLSQP,current_PCE_EfficientSU2,2,18,8,3,2,4409,200,1e-06,1.4901161193847656e-08,30,616,30,0,Optimization terminated successfully,True,12.958645976577069,-28.710272994390536,-28.710272994374115,3.0,25.0,True,2.0,True,True,20,1000,1000,617000,0.5257786249858327
S1_mis_1tc8_pce,mis,1tc.8.txt,SLSQP,current_PCE_EfficientSU2,2,18,8,3,2,7703,200,1e-06,1.4901161193847656e-08,35,700,35,0,Optimization terminated successfully,True,7.20215592908308,-33.254250181961275,-33.254250181961275,3.0,25.0,True,2.0,True,True,20,1000,1000,701000,0.6997275419998914
S2_mis_1tc16_pce,mis,1tc.16.txt,SLSQP,current_PCE_EfficientSU2,2,24,16,4,2,1103,100,1e-06,1.4901161193847656e-08,100,2609,100,9,Iteration limit reached,False,196.6187403251623,-272.70419395869055,-272.70419394095137,3.0,62.5,True,2.0,True,True,44,1000,1000,2610000,3.019263458030764
S2_mis_1tc16_pce,mis,1tc.16.txt,SLSQP,current_PCE_EfficientSU2,2,24,16,4,2,4409,100,1e-06,1.4901161193847656e-08,100,2590,100,9,Iteration limit reached,False,101.05132111822701,-273.5886048664747,-273.58860485584273,3.0,62.5,True,2.0,True,True,44,1000,1000,2591000,3.0296053750207648
S2_mis_1tc16_pce,mis,1tc.16.txt,SLSQP,current_PCE_EfficientSU2,2,24,16,4,2,7703,100,1e-06,1.4901161193847656e-08,100,2583,100,9,Iteration limit reached,False,214.11054925977402,-273.7079022868252,-273.70790228556086,3.0,62.5,True,2.0,True,True,44,1000,1000,2584000,2.9911369160399772
S2_mis_1tc16_pce,mis,1tc.16.txt,SLSQP,current_PCE_EfficientSU2,2,24,16,4,2,1103,200,1e-06,1.4901161193847656e-08,200,5119,200,9,Iteration limit reached,False,196.6187403251623,-273.4837069751756,-273.4837069642954,3.0,62.5,True,2.0,True,True,44,1000,1000,5120000,5.996918457967695
S2_mis_1tc16_pce,mis,1tc.16.txt,SLSQP,current_PCE_EfficientSU2,2,24,16,4,2,4409,200,1e-06,1.4901161193847656e-08,200,5105,200,9,Iteration limit reached,False,101.05132111822701,-273.8809157692799,-273.8809157676968,3.0,62.5,True,2.0,True,True,44,1000,1000,5106000,5.937611458008178
S2_mis_1tc16_pce,mis,1tc.16.txt,SLSQP,current_PCE_EfficientSU2,2,24,16,4,2,7703,200,1e-06,1.4901161193847656e-08,200,5103,200,9,Iteration limit reached,False,214.11054925977402,-273.8023833099919,-273.80238329804786,3.0,62.5,True,2.0,True,True,44,1000,1000,5104000,5.948722833010834
S3_qap_nug12_pce,qap,nug12.dat,SLSQP,current_PCE_EfficientSU2,2,66,144,11,2,1103,100,1e-06,1.4901161193847656e-08,100,7690,100,9,Iteration limit reached,False,280982546.84469813,-71349761.84909911,243588.63486316428,22714.0,inf,False,22714.0,False,False,0,1000,1000,7691000,113.995958583022
S3_qap_nug12_pce,qap,nug12.dat,SLSQP,current_PCE_EfficientSU2,2,66,144,11,2,4409,100,1e-06,1.4901161193847656e-08,100,7690,100,9,Iteration limit reached,False,520798523.5587123,-58190301.10249414,21516155.96725494,24360.0,inf,False,24360.0,False,False,0,1000,1000,7691000,113.95773366698995
S3_qap_nug12_pce,qap,nug12.dat,SLSQP,current_PCE_EfficientSU2,2,66,144,11,2,7703,100,1e-06,1.4901161193847656e-08,100,7690,100,9,Iteration limit reached,False,321677707.0801983,-83844627.04334489,-41692603.84182985,13264.0,inf,False,13264.0,False,False,0,1000,1000,7691000,113.9282436670037
S3_qap_nug12_pce,qap,nug12.dat,SLSQP,current_PCE_EfficientSU2,2,66,144,11,2,1103,200,1e-06,1.4901161193847656e-08,200,15317,200,9,Iteration limit reached,False,280982546.84469813,-94795571.29758808,-37344009.69681269,19150.0,inf,False,19150.0,False,False,0,1000,1000,15318000,227.04639899998438
S3_qap_nug12_pce,qap,nug12.dat,SLSQP,current_PCE_EfficientSU2,2,66,144,11,2,4409,200,1e-06,1.4901161193847656e-08,200,15336,200,9,Iteration limit reached,False,520798523.5587123,-71425083.60989125,25689544.213904146,28658.0,inf,False,28658.0,False,False,0,1000,1000,15337000,227.49256979097845
S3_qap_nug12_pce,qap,nug12.dat,SLSQP,current_PCE_EfficientSU2,2,66,144,11,2,7703,200,1e-06,1.4901161193847656e-08,200,15208,200,9,Iteration limit reached,False,321677707.0801983,-117408763.63088715,-117408763.37537009,7378.0,inf,False,7378.0,False,False,0,1000,1000,15209000,225.8665947910049
