instance,qap_dimension_n,direct_qubo_variables,assignment_constraints_total,assignment_constraints_independent,feasible_assignments,binary_search_space_size,log10_feasible_fraction,qubo_density,mean_qubo_degree,max_qubo_degree,min_abs_nonzero_coefficient,max_abs_nonzero_coefficient,coefficient_dynamic_range,hardware_feasible_methods,simulator_feasible_methods,notes
chr12a,12,144,24,23,479001600,22300745198530623141535718272648361505980416,-34.668,0.292735,41.8611,66,10,1.1912e+07,1.1912e+06,0,0,No feasible hardware method in existing QAP artifacts; no QAP simulator feasible artifact found.
chr12b,12,144,24,23,479001600,22300745198530623141535718272648361505980416,-34.668,0.292735,41.8611,77,10,1.1912e+07,1.1912e+06,0,0,No feasible hardware method in existing QAP artifacts; no QAP simulator feasible artifact found.
chr12c,12,144,24,23,479001600,22300745198530623141535718272648361505980416,-34.668,0.292735,41.8611,44,10,1.1912e+07,1.1912e+06,0,0,No feasible hardware method in existing QAP artifacts; no QAP simulator feasible artifact found.
had12,12,144,24,23,479001600,22300745198530623141535718272648361505980416,-34.668,1,143,143,2,498482,249241,0,0,No feasible hardware method in existing QAP artifacts; no QAP simulator feasible artifact found.
nug12,12,144,24,23,479001600,22300745198530623141535718272648361505980416,-34.668,0.730769,104.5,132,2,214370,107185,0,0,No feasible hardware method in existing QAP artifacts; no QAP simulator feasible artifact found.
rou12,12,144,24,23,479001600,22300745198530623141535718272648361505980416,-34.668,0.987179,141.167,143,16,8.14695e+07,5.09184e+06,0,0,No feasible hardware method in existing QAP artifacts; no QAP simulator feasible artifact found.
scr12,12,144,24,23,479001600,22300745198530623141535718272648361505980416,-34.668,0.512821,73.3333,99,72,1.5692e+07,217944,0,0,No feasible hardware method in existing QAP artifacts; no QAP simulator feasible artifact found.
tai10a,10,100,20,19,3628800,1267650600228229401496703205376,-23.5432,0.963636,95.4,99,2,3.36488e+07,1.68244e+07,0,0,No feasible hardware method in existing QAP artifacts; no QAP simulator feasible artifact found.
tai10b,10,100,20,19,3628800,1267650600228229401496703205376,-23.5432,0.818182,81,99,3,4.10892e+08,1.36964e+08,0,0,No feasible hardware method in existing QAP artifacts; no QAP simulator feasible artifact found.
tai12a,12,144,24,23,479001600,22300745198530623141535718272648361505980416,-34.668,0.974359,139.333,143,2,8.2505e+07,4.12525e+07,0,0,No feasible hardware method in existing QAP artifacts; no QAP simulator feasible artifact found.
tai12b,12,144,24,23,479001600,22300745198530623141535718272648361505980416,-34.668,0.837607,119.778,143,1,2.20593e+10,2.20593e+10,0,0,No feasible hardware method in existing QAP artifacts; no QAP simulator feasible artifact found.
