problem,instance,penalty_multiplier,raw_penalty_value,normalization_factor,effective_penalty_after_normalization,solver_name,solver_status,optimality_certified,mip_gap,solve_time_seconds,qubo_optimum_energy,decoded_original_feasible,decoded_objective_value,matches_classical_reference,constraint_violation_count,constraint_violation_magnitude,notes
MDKP,hp1,0.25,1281,1,1281,Gurobi 13.0.1,TIME_LIMIT,false,5672.5783,10.001579,-3239,true,3239,false,0,0,classical_reference=3418; time_limit_sec=10
MDKP,hp1,0.5,2562,1,2562,Gurobi 13.0.1,TIME_LIMIT,false,11066.436,10.002149,-3258,true,3258,false,0,0,classical_reference=3418; time_limit_sec=10
MDKP,hp1,0.75,3843,1,3843,Gurobi 13.0.1,TIME_LIMIT,false,16716.281,10.001176,-3183,true,3183,false,0,0,classical_reference=3418; time_limit_sec=10
MDKP,hp1,1,5124,1,5124,Gurobi 13.0.1,TIME_LIMIT,false,30182.284,10.001635,-3239,true,3239,false,0,0,classical_reference=3418; time_limit_sec=10
MDKP,hp1,1.25,6405,1,6405,Gurobi 13.0.1,TIME_LIMIT,false,37872.329,10.001784,-3251,true,3251,false,0,0,classical_reference=3418; time_limit_sec=10
MDKP,hp1,2,10248,1,10248,Gurobi 13.0.1,TIME_LIMIT,false,77406.595,10.001111,-3183,true,3183,false,0,0,classical_reference=3418; time_limit_sec=10
MDKP,hp1,4,20496,1,20496,Gurobi 13.0.1,TIME_LIMIT,false,178443.72,10.003515,-3197,true,3197,false,0,0,classical_reference=3418; time_limit_sec=10
MIS,1tc.32,0.25,8.25,1,8.25,Gurobi 13.0.1,OPTIMAL,true,0,0.008427208,-12,true,12,true,0,0,classical_reference=12; time_limit_sec=10
MIS,1tc.32,0.5,16.5,1,16.5,Gurobi 13.0.1,OPTIMAL,true,0,0.013621166,-12,true,12,true,0,0,classical_reference=12; time_limit_sec=10
MIS,1tc.32,0.75,24.75,1,24.75,Gurobi 13.0.1,OPTIMAL,true,0,0.006756542,-12,true,12,true,0,0,classical_reference=12; time_limit_sec=10
MIS,1tc.32,1,33,1,33,Gurobi 13.0.1,OPTIMAL,true,0,0.005710084,-12,true,12,true,0,0,classical_reference=12; time_limit_sec=10
MIS,1tc.32,1.25,41.25,1,41.25,Gurobi 13.0.1,OPTIMAL,true,0,0.004875625,-12,true,12,true,0,0,classical_reference=12; time_limit_sec=10
MIS,1tc.32,2,66,1,66,Gurobi 13.0.1,OPTIMAL,true,0,0.003706625,-12,true,12,true,0,0,classical_reference=12; time_limit_sec=10
MIS,1tc.32,4,132,1,132,Gurobi 13.0.1,OPTIMAL,true,0,0.0053915,-12,true,12,true,0,0,classical_reference=12; time_limit_sec=10
QAP,tai10a,0.25,4206102.2,1,4206102.2,Gurobi 13.0.1,TIME_LIMIT,false,848.23237,10.001538,138022,true,138022,false,0,0,classical_reference=135028; time_limit_sec=10
QAP,tai10a,0.5,8412204.5,1,8412204.5,Gurobi 13.0.1,TIME_LIMIT,false,1753.2484,10.001543,138022,true,138022,false,0,0,classical_reference=135028; time_limit_sec=10
QAP,tai10a,0.75,12618307,1,12618307,Gurobi 13.0.1,TIME_LIMIT,false,2718.1723,10.002947,138310,true,138310,false,0,0,classical_reference=135028; time_limit_sec=10
QAP,tai10a,1,16824409,1,16824409,Gurobi 13.0.1,TIME_LIMIT,false,3380.6363,10.002226,138022,true,138022,false,0,0,classical_reference=135028; time_limit_sec=10
QAP,tai10a,1.25,21030511,1,21030511,Gurobi 13.0.1,TIME_LIMIT,false,4374.8094,10.002284,138022,true,138022,false,0,0,classical_reference=135028; time_limit_sec=10
QAP,tai10a,2,33648818,1,33648818,Gurobi 13.0.1,TIME_LIMIT,false,7719.243,10.001347,135640,true,135640,false,0,0,classical_reference=135028; time_limit_sec=10
QAP,tai10a,4,67297636,1,67297636,Gurobi 13.0.1,TIME_LIMIT,false,14730.808,10.003232,135640,true,135640,false,0,0,classical_reference=135028; time_limit_sec=10
MSP,ms_seed0_prod3,0.25,1548.25,1,1548.25,Gurobi 13.0.1,TIME_LIMIT,false,18325012,10.00284,87,true,67,false,0,0,classical_reference=2; time_limit_sec=10
MSP,ms_seed0_prod3,0.5,3096.5,1,3096.5,Gurobi 13.0.1,TIME_LIMIT,false,33050145,10.002184,95,true,67,false,0,0,classical_reference=2; time_limit_sec=10
MSP,ms_seed0_prod3,0.75,4644.75,1,4644.75,Gurobi 13.0.1,TIME_LIMIT,false,45121080,10.002847,106,true,82,false,0,0,classical_reference=2; time_limit_sec=10
MSP,ms_seed0_prod3,1,6193,1,6193,Gurobi 13.0.1,TIME_LIMIT,false,87586193,10.002412,73,true,67,false,0,0,classical_reference=2; time_limit_sec=10
MSP,ms_seed0_prod3,1.25,7741.25,1,7741.25,Gurobi 13.0.1,TIME_LIMIT,false,63950931,10.001936,124,true,124,false,0,0,classical_reference=2; time_limit_sec=10
MSP,ms_seed0_prod3,2,12386,1,12386,Gurobi 13.0.1,TIME_LIMIT,false,84363728,10.001724,154,true,42,false,0,0,classical_reference=2; time_limit_sec=10
MSP,ms_seed0_prod3,4,24772,1,24772,Gurobi 13.0.1,TIME_LIMIT,false,2.7777027e+08,10.001644,87,true,67,false,0,0,classical_reference=2; time_limit_sec=10
